,Predicted R_t
0,0.030248987
1,0.030248987
2,0.030248987
3,0.03626822
4,0.047318
5,0.06454831
6,0.0672746
7,0.091836065
8,0.08289963
9,0.08413484
10,0.06915747
11,0.058113556
12,0.07199407
13,0.07251879
14,0.06675021
15,0.07765293
16,0.08189886
17,0.08400501
18,0.08904032
19,0.0794494
20,0.069579504
21,0.06521284
22,0.06272068
23,0.05332588
24,0.066432096
25,0.07552567
26,0.067237936
27,0.077447265
28,0.07054316
29,0.07597366
30,0.107190445
31,0.10714594
32,0.10619064
33,0.09847038
34,0.10248218
35,0.11453185
36,0.1018703
37,0.12107601
38,0.11705942
39,0.113706574
40,0.12023813
41,0.09564491
42,0.100452416
43,0.105675004
44,0.13148351
45,0.12740877
46,0.12614168
47,0.09217034
48,0.07945259
49,0.07640505
50,0.092627645
51,0.094331756
52,0.09875668
53,0.07494547
54,0.06605755
55,0.07070888
56,0.071559906
57,0.063706316
58,0.021538509
59,0.019860309
60,0.018087104
61,0.015058478
62,-0.0044692648
63,-0.015143876
64,-0.009364608
65,-0.024609065
66,-0.036407825
67,-0.009086743
68,-0.00942935
69,0.008329088
70,-0.00010849396
71,-0.004114375
72,0.014039507
73,0.0075308233
74,0.014042567
75,0.008710375
76,0.013086203
77,0.015246183
78,0.016909221
79,0.030822277
80,0.04505699
81,0.048139773
82,0.06764951
83,0.0696253
84,0.08429887
85,0.08119173
86,0.08125903
87,0.05375809
88,0.03474753
89,0.05171539
90,0.07361429
91,0.058778316
92,0.044392385
93,0.043955263
94,0.030565813
95,0.015992515
96,0.014526719
97,0.03635584
98,0.011742535
99,0.00026561506
100,-0.008760037
101,-0.0071607777
102,-0.01403498
103,-0.005263101
104,0.015245769
105,0.035897303
106,0.030037228
107,0.033352964
108,0.03646438
109,0.03471068
110,0.037623845
111,0.027948854
112,0.03279545
113,0.041323774
114,0.035935745
115,0.038566586
116,0.0423627
117,0.07304393
118,0.08477777
119,0.081126735
120,0.08461312
121,0.09062681
122,0.08007323
123,0.06842663
124,0.06312696
125,0.042099327
126,0.048313476
127,0.025740543
128,0.032797
129,0.020052029
130,0.009180246
131,-0.008573082
132,-0.03475499
133,-0.0395537
134,-0.05858925
135,-0.05949556
136,-0.030438691
137,-0.069467776
138,-0.082135186
139,-0.07342565
140,-0.08258167
141,-0.07300584
142,-0.0615033
