,Predicted R_t
0,0.07850123
1,0.07850123
2,0.07850123
3,0.07850123
4,0.07850123
5,0.07850123
6,0.07850123
7,0.07850123
8,0.07850123
9,0.07850123
10,0.07850123
11,0.07850123
12,0.07850123
13,0.07850123
14,0.07850123
15,0.07850123
16,0.07850123
17,0.07850123
18,0.07850123
19,0.07850123
20,0.07850123
21,0.07616399
22,0.08082762
23,0.07719124
24,0.0776668
25,0.08384435
26,0.09899447
27,0.074004166
28,0.08628637
29,0.10120145
30,0.11880855
31,0.1259845
32,0.11157489
33,0.11225971
34,0.12561598
35,0.13587716
36,0.11799685
37,0.14089999
38,0.1325081
39,0.11033481
40,0.13095301
41,0.11145608
42,0.11980563
43,0.1300349
44,0.12741855
45,0.12998246
46,0.11548355
47,0.10160147
48,0.103818834
49,0.10247117
50,0.12260994
51,0.114855856
52,0.106826924
53,0.08557406
54,0.09546992
55,0.090056516
56,0.07411376
57,0.04965584
58,0.009761315
59,0.018598944
60,0.013829409
61,-0.00012305612
62,-0.017277043
63,-0.025039572
64,-0.019462043
65,-0.0463233
66,-0.01242938
67,0.0006721951
68,-0.010726324
69,0.008699972
70,-0.0018217466
71,-0.0065743723
72,0.00868361
73,-0.0008283099
74,0.009133663
75,0.00864756
76,0.012048647
77,0.020248897
78,0.02137803
79,0.0379872
80,0.053762127
81,0.063375495
82,0.07635875
83,0.09313604
84,0.100540765
85,0.085299596
86,0.05782612
87,0.038588412
88,0.03850877
89,0.057888195
90,0.0689554
91,0.044104826
92,0.0362423
93,0.038906597
94,0.027390929
95,0.0053464784
96,0.00756087
97,0.030252721
98,-0.017632842
99,-0.0038570608
100,-0.011908372
101,-0.006264577
102,-0.020551568
103,0.0062900074
104,0.039191347
105,0.030585008
106,0.037050616
107,0.025317723
108,0.0324071
109,0.040568873
110,0.030521711
111,0.02391475
112,0.024827024
113,0.027545275
114,0.028750526
115,0.023364088
116,0.045231007
117,0.079042286
118,0.09145584
119,0.08615693
120,0.09856361
121,0.08643799
122,0.047126483
123,0.06565941
124,0.03515747
125,0.041242182
126,0.028196067
127,0.02622224
128,0.022347217
129,0.013032649
130,-0.008371668
131,-0.03233107
132,-0.05637236
133,-0.05948653
134,-0.06794378
135,-0.044606198
136,-0.078477174
137,-0.09158002
138,-0.0738252
139,-0.079215944
140,-0.078736015
141,-0.086439595
142,-0.07976691
143,-0.09401966
144,-0.111768834
145,-0.09783293
146,-0.099948384
147,-0.09962097
148,-0.12365367
149,-0.14677794
150,-0.14054972
151,-0.11510171
152,-0.14519246
153,-0.11984334
154,-0.09712465
155,-0.13526441
156,-0.08319903
157,-0.101272814
158,-0.09047373
159,-0.110023044
160,-0.10980147
161,-0.09874261
162,-0.1409759
163,-0.18392862
164,-0.17743382
165,-0.13185632
166,-0.121335275
167,-0.14341801
168,-0.13441461
169,-0.0790006
170,-0.07812067
171,-0.06881769
172,-0.12043763
173,-0.15063724
174,-0.14559081
175,-0.13504003
176,-0.14151588
177,-0.20513636
178,-0.18123119
179,-0.15854493
180,-0.15730244
181,-0.113751054
182,-0.0587466
183,-0.03944095
184,-0.037264362
185,0.013538117
186,0.07062494
187,0.024139168
188,-0.024772467
189,-0.0062733083
190,0.017642803
191,0.0045986194
192,0.021885233
193,0.07594947
194,0.13257897
195,0.16764016
196,0.24270298
197,0.19118068
198,0.1788208
199,0.22496594
200,0.21267784
201,0.119419836
202,0.09975862
203,0.06283885
204,0.049190633
205,0.059985515
206,0.04672914
207,0.054384544
208,0.0809428
209,0.0921405
210,0.0879756
211,0.103628576
212,0.120572016
213,0.14122312
214,0.13207744
215,0.09491037
216,0.020434583
217,0.02624595
218,-0.005088379
219,0.016949087
220,0.011575902
221,0.02035045
222,0.024073025
223,0.01783054
224,0.012889418
225,0.029283928
226,0.040330537
227,0.040966917
228,0.02068218
229,0.0077344007
230,-0.0011296263
231,0.0068640336
232,0.029658101
233,0.038745176
234,0.029415604
235,0.013426354
236,0.018425373
237,0.037649486
238,0.059063587
239,0.06976538
240,0.06932704
241,0.10136889
242,0.13005556
243,0.14534616
244,0.15089181
245,0.15816243
246,0.09413604
247,0.057920072
248,0.08558345
249,0.06452934
250,0.06304213
251,0.05549005
252,0.048846062
253,0.024637913
254,0.009202348
255,0.0177732
256,0.025186177
257,0.028044868
258,0.04337961
259,0.029481845
260,0.031925973
261,-0.022103168
262,-0.042432524
263,-0.0576031
264,-0.059726633
265,-0.060354367
266,-0.05796776
267,-0.037515465
268,0.003718496
269,0.039665185
270,-0.0072250827
271,-0.029972646
272,-0.033701252
273,-0.032992154
274,-0.03605004
275,-0.01059085
276,0.028967677
277,0.026284479
278,0.027331583
279,0.005468244
280,-0.012805629
281,-0.04137225
282,-0.03472498
283,-0.016296076
284,0.0031985347
285,-0.0040178536
286,-0.011395157
287,0.010097739
288,0.02686296
289,0.022264596
290,0.041748166
291,0.03842376
292,0.02394939
293,0.048713867
294,0.037402257
295,0.03269083
296,0.03126564
297,0.007180437
298,0.0036801589
299,-0.003965209
300,-0.011617367
301,0.015813906
302,0.011373447
303,0.013043461
304,0.024425924
305,0.010439575
306,0.023157634
307,0.04885712
308,0.04904227
309,0.036123164
310,0.034571975
311,0.026874823
312,0.02389433
313,0.020668082
314,0.011407713
315,0.016319344
316,0.012890242
317,0.016071826
318,0.026977539
319,0.034103926
320,0.0372612
321,0.054900974
322,0.056124583
323,0.049268465
324,0.03744127
325,0.032004174
326,0.033214655
327,0.022945631
328,0.009838038
329,0.011821003
330,0.0075624157
331,-0.00043746503
332,0.00036022114
333,0.0066006114
334,-0.0016547595
335,0.007202079
336,-0.0065313275
337,-0.0020200242
338,0.018836237
339,0.013849985
340,0.007830931
341,0.0075041405
342,-0.0065133558
343,-0.032193962
344,-0.029225238
345,-0.03146569
346,-0.033308774
347,-0.028379422
348,-0.022521745
349,0.004291712
350,-0.0037609576
351,-0.007288003
352,0.01024322
353,0.015373572
354,0.024395717
355,0.01386402
356,0.014424518
357,0.027713913
358,0.03708937
359,0.039203677
360,0.031233676
361,0.031763464
362,0.03203308
363,0.03512084
364,0.02193343
365,0.030944163
366,0.038826227
367,0.05689046
368,0.06364349
369,0.054946024
370,0.048171382
371,0.043542538
372,0.04438299
373,0.03459472
374,0.035335734
375,0.040206663
376,0.050750017
377,0.03754319
378,0.037955813
379,0.054516505
380,0.035558697
381,0.026405428
382,-0.009916496
383,-0.02868395
384,-0.02887939
385,-0.0031053028
386,-0.015554984
387,-0.02035392
388,-0.04035748
389,-0.02529136
390,-0.050670978
391,-0.06739568
392,-0.087204106
393,-0.09717284
394,-0.08777219
395,-0.090890415
396,-0.07992636
397,-0.0801572
398,-0.06528411
399,-0.05288858
400,-0.03977495
401,-0.048616096
402,-0.04671607
403,-0.025400478
404,-0.036031984
405,-0.0039712996
406,0.024959847
407,0.047961522
408,0.045479067
409,0.06927015
410,0.059511043
411,0.044506676
412,0.028671708
413,0.06676252
414,0.099835806
415,0.07637353
416,0.07933805
417,0.08176577
418,0.10073529
419,0.09443304
420,0.07105758
421,0.06400963
422,0.044697244
423,0.030294187
424,0.018381158
425,0.016083516
426,0.012118167
427,-0.006788271
428,-0.009416014
429,-0.024464156
430,-0.017876612
431,-0.02608909
432,0.00014746189
433,-0.003753373
434,-0.015349993
435,-0.009596382
436,-0.032634936
437,-0.009562121
438,0.0008626599
439,-0.0040430003
440,-0.016464217
441,-0.013947754
442,-0.014245505
443,-0.03497992
444,-0.024384521
445,-0.023494689
446,-0.024908641
447,-0.013156037
448,-0.011070195
449,0.0049885856
450,-0.005695963
451,0.008952486
452,0.0012646401
453,0.036550984
454,0.06269037
455,0.0501128
456,0.05558104
457,0.05298635
458,0.04579016
459,0.05223147
460,0.05806345
461,0.04353197
462,0.061448425
463,0.07715304
464,0.0801951
465,0.09673878
