,Sigma
0,0.06972699521354574
1,0.06972692909354465
2,0.06972683300244821
3,0.06972670736286246
4,0.06972655054294115
5,0.06972634472225558
6,0.06972608179064581
7,0.06972575235926813
8,0.06972531044686299
9,0.06972477802409292
10,0.06972375071390165
11,0.06945352828888517
12,0.0916542487342227
13,0.10908460449023845
14,0.08486254086998538
15,0.07437714025342289
16,0.075988019844367
17,0.06884311828936272
18,0.06482387588148017
19,0.08272146456664141
20,0.07022224172672681
21,0.07392865708267495
22,0.06518463103822165
23,0.07521220504756633
24,0.08619410087083114
25,0.08804335419333739
26,0.08294172015894904
27,0.08141736568379492
28,0.08248137496105469
29,0.07073383962317899
30,0.06273076800751066
31,0.06266744577158531
32,0.06186571250348903
33,0.07329469729460467
34,0.07516977292043697
35,0.07567531335538764
36,0.07486376720261825
37,0.06375764429768516
38,0.07330775181269436
39,0.08195406444741037
40,0.06228983327280319
41,0.06263056492719807
42,0.07112511851896844
43,0.07191259728954592
44,0.11432027356302057
45,0.12155418257600036
46,0.10339244112526359
47,0.08262648065247968
48,0.08070010286336417
49,0.07880023697172113
50,0.07118953824171427
51,0.06525528208107494
52,0.07387952823872386
53,0.09012323009889146
54,0.134145531564583
55,0.13602776368292943
56,0.1468925493876813
57,0.15561993239502062
58,0.1250085183941266
59,0.12250964511609
60,0.13028850408145273
61,0.13022886379204338
62,0.13593403538568188
63,0.11260295776248253
64,0.09452683059540344
65,0.08346203055905929
66,0.0790825919019001
67,0.07524540131947831
68,0.07649811354092004
69,0.08264608216408001
70,0.07106064663225305
71,0.06217704176877658
72,0.05800706361839847
73,0.056872734879180833
74,0.06553618344572669
75,0.06109306994375693
76,0.06713071420685669
77,0.059150084539280286
78,0.05724496960940213
79,0.05946433367000264
80,0.048993306700026655
81,0.05151103094412216
82,0.04608522370644108
83,0.04530687464725353
84,0.042071306096475664
85,0.03863899019793928
86,0.040280818656181314
87,0.041179841543785775
88,0.044534537569801184
89,0.03820039270925763
90,0.039274998306906235
91,0.04422719095326107
92,0.04588043646847996
93,0.04801471535926404
94,0.046259495155278996
95,0.04081469870982347
96,0.04502658353518847
97,0.04568779803242447
98,0.04329710396932333
99,0.04469066709066704
100,0.051038411909083606
101,0.06772856403421404
102,0.059334662640884404
103,0.054236240431472654
104,0.049085932796586
105,0.04679023944210719
106,0.0420206753523198
107,0.04540796236611269
108,0.04613353062293275
109,0.04346478636724941
110,0.05778472923723801
111,0.051780023543342074
112,0.051092710626262534
113,0.05178861261013777
114,0.055628167181497885
115,0.0803831957503576
116,0.07354758374428687
117,0.05872702709369627
118,0.06912649547979847
119,0.05992422373347944
120,0.07155099221906534
121,0.08698914613211672
122,0.08704361083344804
123,0.07213831412486413
124,0.05930388719950617
125,0.0658099141932599
126,0.07658998203481894
127,0.06773719251661585
128,0.08205956354755113
129,0.16789974109673592
130,0.18239147200780656
131,0.14342003912946455
132,0.13338649905951522
133,0.13021415449160287
134,0.12931916176897829
135,0.11524190397274907
136,0.10240654706977036
137,0.09180802327254353
138,0.08635449957956673
139,0.08173748729194552
140,0.07930973016071381
141,0.0776285319209766
142,0.08061388494671759
143,0.07499967664618518
144,0.06780772548064946
145,0.07800647002705803
146,0.06556106453625433
147,0.06288857824614844
148,0.10733133090510173
149,0.09492562105252197
150,0.08668317707752571
151,0.08078889900190236
152,0.07477966725710603
153,0.06896928651026596
154,0.06949379872772193
155,0.06680635979840915
156,0.06517383678799032
157,0.06295661962043353
158,0.07427449218955275
159,0.06089961564579528
160,0.06417219549542168
161,0.06805087696873453
162,0.07273367193232019
163,0.11281195576775974
164,0.1272012394945427
165,0.12127692120231362
166,0.11424940676716189
167,0.09950174256241359
168,0.08360790668598066
169,0.07365511186790168
170,0.0652373047695654
171,0.07585601437222389
172,0.08788410340747004
173,0.09156259431038093
174,0.0730058348702981
175,0.07075285309916234
176,0.06783988619611282
177,0.06506104517803842
178,0.062463648932340785
179,0.05114630120367016
180,0.04958109983121624
181,0.053009826890430434
182,0.05843488721776467
183,0.05975267951674401
184,0.05369419686505052
185,0.06236407051983973
186,0.05816114632534555
187,0.05337576718154745
188,0.057486030443247065
189,0.054309686908499376
190,0.04717736329964433
191,0.050017329931610385
192,0.05067144537441578
193,0.057385453986759455
194,0.05620012864679394
195,0.05221991475008461
196,0.04917491413869969
197,0.04336932923929543
198,0.046296601521081886
199,0.054958518843996065
200,0.04951447757057396
201,0.06571080336666633
202,0.06038711052921466
203,0.06346086310075254
204,0.08008453724730999
205,0.06883408385475487
206,0.054943159077377034
207,0.061289771827606705
208,0.06589862247878257
209,0.07401848400615824
210,0.07404516904432501
211,0.06786083413327991
212,0.09116140886376156
213,0.07500409709947828
214,0.06593345419986486
215,0.06987561006445356
216,0.08251471073905778
217,0.09098619289152877
218,0.07430492219066373
219,0.06777546639546832
220,0.07046220873381612
221,0.08543641715549997
222,0.07087342423741942
223,0.059831157842634035
224,0.058659334317045196
225,0.056748328231554
226,0.06352517577911003
227,0.05211045109427298
228,0.04793351530052954
229,0.04757589526705343
230,0.04438215380149667
231,0.06036120290462905
232,0.04655272522358689
233,0.041804008684072316
234,0.04366800997305454
235,0.044798291765116974
236,0.04287854157176764
237,0.03746586075334116
238,0.039746064543257104
239,0.03936232775577358
240,0.0370770863496455
241,0.05924911893906226
242,0.05207358532632732
243,0.048967989509071955
244,0.04069857578348964
245,0.044721077062543156
246,0.04501002527447902
247,0.042274119808683175
248,0.04483651627250298
249,0.051665431674620906
250,0.05643901577983187
251,0.05829213270097831
252,0.05866869463221629
253,0.04483930931570476
254,0.043248607966937934
255,0.04119108519245168
256,0.04843394047144561
257,0.04568570120821202
258,0.03850644089392681
259,0.055365885488484666
260,0.049015034055335714
261,0.05022967358709096
262,0.03853064893675224
263,0.04076955412456438
264,0.038244526304744564
265,0.04477302964415109
266,0.15484649770986628
267,0.13352738884312237
268,0.09343830371438668
269,0.09421965674578663
270,0.08216778291403234
271,0.07144911169873008
272,0.07586165922342501
273,0.07568203006088034
274,0.07813138652935997
275,0.06457678300523252
276,0.06468147026646943
277,0.0678072697504945
278,0.058506944044855194
279,0.05171776517006349
280,0.05931116746097491
281,0.052779481441523175
282,0.05591643960631476
283,0.054791315800109944
284,0.060248095563950894
285,0.05965578684972844
286,0.05153185347458601
287,0.07378686144150837
288,0.057702887566856265
